id,origin,destination,airline,fare,travel_date,search_date,booking_window,created_at
168,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
169,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
170,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
171,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
172,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
173,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
174,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
175,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
176,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
177,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
178,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
179,DEL,BOM,IndiGo,6425,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
180,DEL,BOM,Air India Express,6779,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
181,DEL,BOM,Air India,6792,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
182,DEL,BOM,IndiGo,6793,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
183,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
184,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
185,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
186,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
187,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
188,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
189,DEL,BOM,IndiGo,7055,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
190,DEL,BOM,Air India Express,7261,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
191,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
192,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
193,DEL,BOM,IndiGo,7370,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
194,DEL,BOM,Air India,7553,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
195,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
196,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
197,DEL,BOM,Air India,7685,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
198,DEL,BOM,Akasa Air,7716,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
199,DEL,BOM,Air India,7879,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
200,DEL,BOM,Air India,8052,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
201,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
202,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
203,DEL,BOM,IndiGo,8053,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
204,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
205,DEL,BOM,Air India,8136,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
206,DEL,BOM,Akasa Air,8419,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
207,DEL,BOM,IndiGo,8473,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
208,DEL,BOM,Akasa Air,8720,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
209,DEL,BOM,IndiGo,8998,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
210,DEL,BOM,Akasa Air,9360,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
211,DEL,BOM,Air India,9569,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
212,DEL,BOM,Air India,9569,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
213,DEL,BOM,Air India,9905,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
214,DEL,BOM,Air India,9968,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
215,DEL,BOM,Air India,13239,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
216,DEL,BOM,SpiceJet,22551,2026-09-20,2026-09-13,7,2026-09-13 07:37:33.773377
217,DEL,BOM,Air India,6425,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
218,DEL,BOM,IndiGo,6583,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
219,DEL,BOM,Akasa Air,6880,2026-09-20,2026-09-13,7,2026-09-13 07:38:17.192354
